794.000	21638.000
794.016	24939.000
794.031	29194.000
794.047	32031.000
794.063	32490.000
794.079	31848.000
794.094	30020.000
794.110	26344.000
794.126	23027.000
794.142	20938.000
794.157	19941.000
794.173	19396.000
794.189	19054.000
794.204	18643.000
794.220	18355.000
794.236	18356.000
794.252	19001.000
794.267	21002.000
794.283	24298.000
794.299	27790.000
794.314	29606.000
794.330	29490.000
794.346	28692.000
794.362	26420.000
794.377	23122.000
794.393	20575.000
794.409	19170.000
794.424	18368.000
794.440	18048.000
794.456	17770.000
794.472	17572.000
794.487	17250.000
794.503	17440.000
794.519	18442.000
794.534	20706.000
794.550	24062.000
794.566	26655.000
794.581	27672.000
794.597	27313.000
794.613	26229.000
794.629	23736.000
794.644	20888.000
794.660	18889.000
794.676	17840.000
794.691	17326.000
794.707	17025.000
794.723	16783.000
794.738	16607.000
794.754	16432.000
794.770	16897.000
794.785	18064.000
794.801	20565.000
794.817	23313.000
794.832	25160.000
794.848	25457.000
794.864	25046.000
794.880	23752.000
794.895	21308.000
794.911	18993.000
794.927	17455.000
794.942	16713.000
794.958	16326.000
794.974	16162.000
794.989	15872.000
795.005	15667.000
795.021	15706.000
795.036	16038.000
795.052	17324.000
795.068	19630.000
795.083	22226.000
795.099	23486.000
795.115	23601.000
795.130	23027.000
795.146	21485.000
795.162	19228.000
795.177	17334.000
795.193	16468.000
795.209	15825.000
795.224	15684.000
795.240	15427.000
795.256	15119.000
795.271	14964.000
795.287	14992.000
795.303	15358.000
795.318	16740.000
795.334	18831.000
795.350	20872.000
795.365	21708.000
795.381	21646.000
795.396	21000.000
795.412	19396.000
795.428	17640.000
795.443	16231.000
795.459	15423.000
795.475	15035.000
795.490	14810.000
795.506	14608.000
795.522	14356.000
795.537	14210.000
795.553	14280.000
795.569	14932.000
795.584	16444.000
795.600	18398.000
795.615	20004.000
795.631	20582.000
795.647	20493.000
795.662	19659.000
795.678	17996.000
795.694	16345.000
795.709	15207.000
795.725	14504.000
795.741	14170.000
795.756	13965.000
795.772	13737.000
795.787	13549.000
795.803	13502.000
795.819	13772.000
795.834	14429.000
795.850	15754.000
795.866	17682.000
795.881	19088.000
795.897	19477.000
795.912	19270.000
795.928	18400.000
795.944	16940.000
795.959	15402.000
795.975	14348.000
795.990	13760.000
796.006	13582.000
796.022	13434.000
796.037	13139.000
796.053	12854.000
796.068	12852.000
796.084	13154.000
796.100	13769.000
796.115	15018.000
796.131	16504.000
796.147	17710.000
796.162	18044.000
796.178	17673.000
796.193	16857.000
796.209	15678.000
796.225	14420.000
796.240	13603.000
796.256	13114.000
796.271	12834.000
796.287	12788.000
796.303	12525.000
796.318	12438.000
796.334	12431.000
796.349	12582.000
796.365	13180.000
796.380	14380.000
796.396	15600.000
796.412	16484.000
796.427	16727.000
